Training | Average loss node -0.786422 dist -2.058079 angle -1.865022 torsion 1.145139 focus 0.259583 contact 0.336532
Training | Average loss node -0.800808 dist -2.882059 angle -2.299593 torsion 0.801452 focus 0.167037 contact 0.132248
Training | Average loss node -0.800874 dist -2.889757 angle -2.303487 torsion 0.794544 focus 0.166334 contact 0.130364
Training | Average loss node -0.800960 dist -2.895896 angle -2.308793 torsion 0.781449 focus 0.165330 contact 0.128305
Training | Average loss node -0.801056 dist -2.895528 angle -2.311857 torsion 0.774546 focus 0.165126 contact 0.126733
Training | Average loss node -0.801038 dist -2.900911 angle -2.312926 torsion 0.778370 focus 0.164621 contact 0.124586
Training | Average loss node -0.801181 dist -2.905748 angle -2.317687 torsion 0.767488 focus 0.164048 contact 0.123317
Training | Average loss node -0.801246 dist -2.910906 angle -2.320612 torsion 0.762477 focus 0.163688 contact 0.121489
Training | Average loss node -0.801275 dist -2.912745 angle -2.322644 torsion 0.764747 focus 0.163377 contact 0.120440
Training | Average loss node -0.801319 dist -2.915704 angle -2.323335 torsion 0.766651 focus 0.163050 contact 0.119408
Training | Average loss node -0.801329 dist -2.920368 angle -2.329104 torsion 0.749715 focus 0.162290 contact 0.118291
Training | Average loss node -0.801416 dist -2.922407 angle -2.330799 torsion 0.746115 focus 0.162088 contact 0.116669
Training | Average loss node -0.801433 dist -2.924426 angle -2.332780 torsion 0.748052 focus 0.161825 contact 0.115432
Training | Average loss node -0.801492 dist -2.928742 angle -2.334475 torsion 0.744547 focus 0.161433 contact 0.114522
Training | Average loss node -0.801488 dist -2.926870 angle -2.334896 torsion 0.738972 focus 0.161414 contact 0.113364
Training | Average loss node -0.801546 dist -2.934709 angle -2.339770 torsion 0.729450 focus 0.160666 contact 0.112837
Training | Average loss node -0.801620 dist -2.935467 angle -2.340234 torsion 0.734213 focus 0.160517 contact 0.111988
Training | Average loss node -0.801652 dist -2.934751 angle -2.339741 torsion 0.739850 focus 0.160602 contact 0.110421
Training | Average loss node -0.801660 dist -2.940139 angle -2.343802 torsion 0.728318 focus 0.160031 contact 0.110230
Training | Average loss node -0.801684 dist -2.939099 angle -2.344038 torsion 0.732224 focus 0.159987 contact 0.109558
Training | Average loss node -0.801781 dist -2.943839 angle -2.348214 torsion 0.717686 focus 0.159414 contact 0.109165
Training | Average loss node -0.801765 dist -2.940472 angle -2.345985 torsion 0.731914 focus 0.159788 contact 0.107565
Training | Average loss node -0.801807 dist -2.945064 angle -2.349242 torsion 0.726728 focus 0.159028 contact 0.107101
Training | Average loss node -0.801762 dist -2.944434 angle -2.348980 torsion 0.724022 focus 0.159309 contact 0.107016
Training | Average loss node -0.801896 dist -2.948534 angle -2.351396 torsion 0.726398 focus 0.158858 contact 0.106495
Training | Average loss node -0.801959 dist -2.950863 angle -2.353995 torsion 0.712812 focus 0.158489 contact 0.106551
Training | Average loss node -0.801937 dist -2.953389 angle -2.355768 torsion 0.710632 focus 0.158094 contact 0.105718
Training | Average loss node -0.801961 dist -2.947714 angle -2.353942 torsion 0.720567 focus 0.158566 contact 0.104427
Training | Average loss node -0.802016 dist -2.951941 angle -2.356419 torsion 0.711766 focus 0.158132 contact 0.104610
Training | Average loss node -0.802082 dist -2.957748 angle -2.359760 torsion 0.703569 focus 0.157543 contact 0.104089
Training | Average loss node -0.802073 dist -2.955867 angle -2.357689 torsion 0.711394 focus 0.157749 contact 0.103663
Training | Average loss node -0.802127 dist -2.958122 angle -2.361182 torsion 0.701871 focus 0.157381 contact 0.103519
Training | Average loss node -0.802073 dist -2.956951 angle -2.360345 torsion 0.707835 focus 0.157484 contact 0.102617
Training | Average loss node -0.802191 dist -2.960391 angle -2.361779 torsion 0.708201 focus 0.157357 contact 0.102453
Training | Average loss node -0.802234 dist -2.959614 angle -2.362660 torsion 0.703051 focus 0.157198 contact 0.100898
Training | Average loss node -0.802260 dist -2.964219 angle -2.365372 torsion 0.697160 focus 0.156829 contact 0.101161
Training | Average loss node -0.802233 dist -2.960906 angle -2.365489 torsion 0.696413 focus 0.156842 contact 0.100556
Training | Average loss node -0.802340 dist -2.966478 angle -2.367467 torsion 0.697692 focus 0.156224 contact 0.100304
Training | Average loss node -0.802295 dist -2.967982 angle -2.368341 torsion 0.693670 focus 0.156264 contact 0.099937
Training | Average loss node -0.802267 dist -2.964267 angle -2.366635 torsion 0.700517 focus 0.156528 contact 0.098999
Training | Average loss node -0.802332 dist -2.967977 angle -2.367607 torsion 0.701871 focus 0.156403 contact 0.098994
Training | Average loss node -0.802422 dist -2.972672 angle -2.372240 torsion 0.683274 focus 0.155625 contact 0.098419
Training | Average loss node -0.802410 dist -2.971926 angle -2.372034 torsion 0.685043 focus 0.155773 contact 0.097998
Training | Average loss node -0.802367 dist -2.972649 angle -2.372883 torsion 0.686067 focus 0.155697 contact 0.098146
Training | Average loss node -0.802403 dist -2.969414 angle -2.371235 torsion 0.695566 focus 0.156235 contact 0.098239
Training | Average loss node -0.802373 dist -2.970359 angle -2.370812 torsion 0.698322 focus 0.156246 contact 0.097861
Training | Average loss node -0.802491 dist -2.973940 angle -2.374762 torsion 0.686584 focus 0.155551 contact 0.097906
Training | Average loss node -0.802482 dist -2.975878 angle -2.376164 torsion 0.682011 focus 0.155283 contact 0.097941
Training | Average loss node -0.802499 dist -2.975747 angle -2.375643 torsion 0.687549 focus 0.155441 contact 0.098647
Training | Average loss node -0.802443 dist -2.972887 angle -2.375250 torsion 0.687644 focus 0.155393 contact 0.098035
Training | Average loss node -0.802517 dist -2.977625 angle -2.377036 torsion 0.684293 focus 0.155284 contact 0.097394
Training | Average loss node -0.802560 dist -2.975869 angle -2.376073 torsion 0.689009 focus 0.155442 contact 0.095600
Training | Average loss node -0.802581 dist -2.979325 angle -2.377637 torsion 0.682982 focus 0.155017 contact 0.095106
Training | Average loss node -0.802623 dist -2.978720 angle -2.377329 torsion 0.689095 focus 0.155111 contact 0.095140
Training | Average loss node -0.802623 dist -2.980694 angle -2.380031 torsion 0.681345 focus 0.154644 contact 0.095239
Training | Average loss node -0.802726 dist -2.985747 angle -2.384047 torsion 0.666720 focus 0.154163 contact 0.095156
Training | Average loss node -0.802638 dist -2.982477 angle -2.380277 torsion 0.682992 focus 0.154801 contact 0.094393
Training | Average loss node -0.802642 dist -2.984018 angle -2.382748 torsion 0.677051 focus 0.154669 contact 0.094106
Training | Average loss node -0.802633 dist -2.982915 angle -2.381535 torsion 0.680390 focus 0.154712 contact 0.093912
Training | Average loss node -0.802616 dist -2.983002 angle -2.382550 torsion 0.676603 focus 0.154594 contact 0.094051
Training | Average loss node -0.802688 dist -2.985013 angle -2.384104 torsion 0.672011 focus 0.154468 contact 0.093655
Training | Average loss node -0.802673 dist -2.985628 angle -2.383425 torsion 0.683343 focus 0.154376 contact 0.093542
Training | Average loss node -0.802658 dist -2.984844 angle -2.382560 torsion 0.680849 focus 0.154690 contact 0.093401
Training | Average loss node -0.802670 dist -2.985848 angle -2.383650 torsion 0.678914 focus 0.154364 contact 0.092826
Training | Average loss node -0.802831 dist -2.990074 angle -2.388826 torsion 0.659727 focus 0.153791 contact 0.093406
Training | Average loss node -0.802790 dist -2.990849 angle -2.388366 torsion 0.664725 focus 0.153821 contact 0.092874
Training | Average loss node -0.802815 dist -2.988713 angle -2.387050 torsion 0.668863 focus 0.154319 contact 0.092555
Training | Average loss node -0.802821 dist -2.990914 angle -2.388580 torsion 0.662812 focus 0.154051 contact 0.092733
Training | Average loss node -0.802782 dist -2.989703 angle -2.387292 torsion 0.669453 focus 0.154076 contact 0.092561
Training | Average loss node -0.802817 dist -2.991494 angle -2.388582 torsion 0.668385 focus 0.154058 contact 0.092539
Training | Average loss node -0.802893 dist -2.993843 angle -2.391267 torsion 0.656742 focus 0.153664 contact 0.091988
Training | Average loss node -0.802850 dist -2.990686 angle -2.387640 torsion 0.672590 focus 0.154211 contact 0.092909
Training | Average loss node -0.802812 dist -2.990948 angle -2.388785 torsion 0.669694 focus 0.154294 contact 0.091227
Training | Average loss node -0.802895 dist -2.995663 angle -2.393289 torsion 0.651546 focus 0.153416 contact 0.091847
Training | Average loss node -0.802823 dist -2.991246 angle -2.388546 torsion 0.669839 focus 0.154277 contact 0.091567
Training | Average loss node -0.802860 dist -2.996236 angle -2.392668 torsion 0.658949 focus 0.153595 contact 0.091382
Training | Average loss node -0.802895 dist -2.996035 angle -2.392483 torsion 0.663104 focus 0.153825 contact 0.091464
Training | Average loss node -0.802837 dist -2.994299 angle -2.389746 torsion 0.672837 focus 0.154064 contact 0.091009
Training | Average loss node -0.802887 dist -2.996409 angle -2.393964 torsion 0.653025 focus 0.153861 contact 0.090857
Training | Average loss node -0.802882 dist -2.996240 angle -2.392175 torsion 0.665030 focus 0.153900 contact 0.090351
